"RegionName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11"
"St. Louis, MO",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3126491646778,1.3188245823389,1.34862385321101,1.36217429772174,1.36217429772174,1.33126631172356,1.36181818181818,1.39272727272727,1.37747035573123,1.33333333333333,1.32222222222222,1.34793187347932
"Tampa, FL",15,,,,,,,,,,0.983751548946716,1.11607142857143,1.11677631578947,1.13636363636364,1.13111111111111,1.08712121212121,1.08181818181818,1.08333333333333,1.2,1.2119783197832,1.16666666666667,1.21111111111111,1.13636363636364,1.1577037037037,1.17777777777778,1.2,1.2,1.25561282932417,1.31111111111111,1.245,1.28888888888889,1.23541666666667,1.22777777777778,1.16666666666667,1.20279605263158,1.22364953886693,1.27991452991453,1.32222222222222,1.32111111111111,1.34166666666667,1.33333333333333,1.37083333333333,1.5,1.5,1.5,1.5625,1.49141355140187,1.51098901098901,1.61363636363636,1.65,1.55555555555556,1.61378205128205,1.55902777777778,1.52307692307692,1.47177197802198,1.5,1.52666666666667,1.44444444444444,1.625,1.5625
"Baltimore, MD",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48998664886515,2.34435997264166,2.25863666869068,2.28915662650602,2.31167952700671,2.05309760968085,2.10804809534635,2.10628395831478,2.06917475728155,2.1407171314741,2.21043689320388,2.05097087378641,2.04026115342764,2.09905660377358,2.03124168782493,2.11622807017544
"Denver, CO",17,,,,,,,,,,,,,1.68181818181818,1.5,1.45502645502646,1.52801358234295,1.66903409090909,1.71468253968254,1.73111471861472,1.62859172509029,1.59574468085106,1.61045531197302,1.61111000892769,1.58333333333333,1.58602733781731,1.67638483965015,1.67857142857143,1.67060146149522,1.5,1.53465346534653,1.59506327951514,1.59653465346535,1.625,1.64418212478921,1.6875,1.8572506640908,1.99616122840691,2.02783300198807,2.0258212628988,1.95409836065574,1.78217821782178,1.9441661714845,1.9206183447643,2,2.03606557377049,2.0229432002536,2.02270931429359,2.01042911159326,2.08114754098361,2.11123760173772,2.09270631966438,2.10992907801418,2.16106309992773,2.25578406169666,2.25,2.23323170731707,2.32388663967611,2.31707317073171,2.25952813067151
"Portland, OR",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59550561797753,2.41516966067864,2.2375,2.24708171206226,2.25812274368231,2.27272727272727,2.32558139534884,2.32567729561256,2.42718446601942,2.45217391304348,2.50123966942149,2.54668259235567,2.52292020373514,2.51241134751773
"Charlotte, NC",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.666476841306,1.66946308724832,1.73696638517176,1.75438596491228,1.76542470295986,1.80136054421769,1.86635025492695,1.89762611275964,1.88804376209383,1.8886827458256,1.89857757757291,1.87937743190661,2.01793716846534
"Orlando, FL",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79723290383049,1.69145569620253,1.72284482758621,1.77777777777778,1.75742789619461,1.77212714982459,1.82207977207977,1.8354381841796,1.93495187071326,1.76666666666667,1.71685205784205,1.71301446051168,1.78761329012913,1.78434782608696
"Kansas City, MO",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.903225806451613,1,1.10912343470483,1.08687258687259,1.08554155659419,1.09031129343629,1.19856887298748,1.12756264236902,1.22886910585013,1.20056497175141,1.07436332767402,1.04389478764479,0.99353813559322,1.09215017064846,1.14285714285714,1.12278132118451,1.18367346938776,1.14285714285714,1.27857142857143,1.35555555555556,1.25028248587571,1.35474205630059,1.35555555555556,1.35555555555556,1.29984639016897
"San Jose, CA",22,,,,,,,,,,2.64166666666667,2.69166666666667,2.57142857142857,2.75128865979381,2.79301691216585,2.86167582417582,2.875,2.89706825202541,2.98954212454212,3.00807359307359,2.85870243293824,3.11833559698728,3.2375,2.9875,2.9875,3.02631578947368,2.99788583509514,3.1015037593985,2.90052356020942,2.875,2.83896783844428,3.15604395604396,3.28958988380041,3.42410015649452,3.19524344711978,3.17357512953368,3.23461328976035,3.2089552238806,3.21691176470588,3.27619047619048,3.35492227979275,3.51418439716312,3.40467372134039,3.67364746945899,3.73214285714286,3.73134328358209,3.73134328358209,3.7046511627907,3.69642857142857,3.73134328358209,3.86278195488722,3.94272559917618,3.92421602787456,3.97933008267967,4.1453488372093,4.14150943396226,4.20608108108108,4.11139311900733,4.13265306122449,4.15587219343696
"Austin, TX",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81067655935614,1.76792525773196,1.83550039401103,1.86428571428571,1.85185185185185,1.73874695863747,1.79125,1.75,1.79123711340206,1.86657913165266,1.90495867768595,2.03659640965891,2.04400193485972,1.94852941176471,1.88636363636364,1.93456614509246,2.16666666666667,1.92692490494297,1.95942265795207,2.00201207243461,1.97383177570093,2.01593137254902,2,2,2,1.93146417445483,2.18695879366975,2,2.20336495561922
"Oklahoma City, OK",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01279317697228,1.03944562899787,1.01279317697228,1.06609808102345,1.06609808102345,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.06609808102345,1.23093900481541,1.25178826895565,1.23565598594748,1.20593900481541,1.22792937399679,1.0813980971155
"New Orleans, LA",25,,,,,,,,,,,,,,,,,,,,1.07142857142857,1.05,1.03425925925926,1,1,0.909090909090909,0.954080756013746,1.02727272727273,1.15875,1.1875,1.07615263762161,1.02865540044085,1.02543881133154,1,1,1,1.01432770022043,1,1,1.06122448979592,1.09130607383882,1.025,1.09090909090909,1.08514492753623,1.12535612535613,1,1,1.03359173126615,1.00789473684211,1,1.1,1.08900793650794,1.18809210526316,1.23333333333333,1.1952380952381,1.18400119617225,1.12743961352657,1.18618421052632,1.1813273993808,1.14455782312925
"Tucson, AZ",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08108108108108,1.08541233541234,1.04831932773109,0.975,0.953038674033149,1.04831932773109,1.15789473684211,1.09756097560976,1.025,1.02739726027397,1.06349206349206,1.09756097560976,1.12477876106195,1.05,1,1,1.07142857142857,1.08974358974359,1.07655502392344,1.125,1.12857142857143,1.12857142857143,1.09487179487179,1.13235502121641,1.08974358974359
"Stamford, CT",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19298245614035,2.08928571428571,2.125,2.26363636363636,2.42382271468144,2.37179487179487,2.41796050667909,2.5,2.34150519848771,2.275,2.37479548573238,2.27272727272727,2.34557038834951,2.35,2.34042553191489,2.09347826086957,2.16666666666667,2.33333333333333,2.54818594104308,2.46776504297994,2.64175257731959,2.55348699763593,2.560888252149,2.52314814814815,2.5,2.5
"Albuquerque, NM",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33488977675142,1.28101503759399,1.3125,1.29440789473684,1.27631578947368,1.36612021857923,1.35574837310195,1.40897755610973,1.31403118040089,1.33488977675142,1.35574837310195,1.33898529766209,1.37056010928962,1.35876509844363,1.35140997830803,1.3004217791411,1.35876509844363
