"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-02-29,"Burleigh","ND","Bismarck",678,1474,0.00408719346049046,-0.0321733420879842,-0.0321733420879842,26536
2016-02-29,"Wilson","NC","Wilson",679,977,-0.00912778904665314,-0.0458984375,-0.00306122448979592,17442
2016-02-29,"Maury","TN","Nashville",680,1074,-0.0046339202965709,-0.0173833485818847,0.021883920076118,38943
2016-02-29,"Cullman","AL","Cullman",681,959,0.00313807531380753,0.00208986415882968,0.00524109014675052,30330
2016-02-29,"Cattaraugus","NY","Olean",682,1291,-0.00920951650038373,-0.0234493192133132,-0.0946704067321178,25250
2016-02-29,"Lauderdale","MS","Meridian",683,1016,0.0129611166500499,-0.00196463654223969,-0.107205623901582,18478
2016-02-29,"Cayuga","NY","Auburn",684,1352,-0.00147710487444609,-0.0152949745083758,-0.0883344571813891,22575
2016-02-29,"Glynn","GA","Brunswick",685,1238,-0.00482315112540193,-0.0251968503937008,0.011437908496732,34980
2016-02-29,"Scioto","OH","Portsmouth",686,882,-0.00338983050847458,-0.0078740157480315,0.00684931506849315,17142
2016-02-29,"Elmore","AL","Montgomery",687,920,-0.0075512405609493,-0.0356394129979036,-0.111969111969112,38714
2016-02-29,"Raleigh","WV","Beckley",688,851,-0.00931315483119907,-0.0285388127853881,-0.166503428011753,25278
2016-02-29,"Henderson","TX","Athens",689,1255,-0.00396825396825397,-0.0648286140089419,-0.00159108989657916,19691
2016-02-29,"Island","WA","Oak Harbor",690,1436,0.00630693763139454,0.0264474624731951,0.114041892940264,40029
2016-02-29,"Rockwall","TX","Dallas-Fort Worth",691,1826,0.000547945205479452,-0.00381887615930169,0.02296918767507,28331
2016-02-29,"Frederick","VA","Winchester",692,1378,-0.00433526011560694,-0.0143061516452074,0.0110051357300073,28186
2016-02-29,"Lincoln","NC","Charlotte",693,991,0.00405268490374873,0.0143295803480041,-0.0139303482587065,35134
2016-02-29,"Franklin","WA","Kennewick",694,1251,0.00562700964630225,0.0237315875613748,0.0775193798449612,21959
2016-02-29,"Ross","OH","Chillicothe",695,980,0.00204498977505112,0,0.0503751339764201,20031
2016-02-29,"Somerset","PA","Somerset",696,978,-0.00609756097560976,-0.0111223458038423,-0.0151057401812689,17999
2016-02-29,"Sullivan","NY",,697,1294,0.00778816199376947,0.0253565768621236,0.0756442227763924,30944
2016-02-29,"Jefferson","AR","Pine Bluff",698,756,0.00132450331125828,-0.0104712041884817,0.0134048257372654,19014
2016-02-29,"Christian","MO","Springfield",699,871,0,-0.00684150513112885,-0.00797266514806378,9070
2016-02-29,"Kosciusko","IN","Warsaw",700,1100,-0.0116801437556155,-0.0525409130060293,0.0912698412698413,29701
2016-02-29,"Payne","OK","Stillwater",701,1054,0.00285442435775452,-0.0131086142322097,0.0105465004793864,15420
2016-02-29,"Twin Falls","ID","Twin Falls",702,1064,0.0240615976900866,0.0360272638753651,0.0824008138351984,22208
2016-02-29,"Cheshire","NH","Keene",703,1350,0.00446428571428571,-0.00074019245003701,0.077414205905826,21725
2016-02-29,"Erie","OH","Sandusky",704,1110,-0.00448430493273543,-0.0133333333333333,-0.0124555160142349,30627
2016-02-29,"White","AR","Searcy",705,881,-0.00113378684807256,-0.0189309576837416,-0.0392584514721919,24218
2016-02-29,"Bartholomew","IN","Columbus",706,1149,0.011443661971831,0.00966608084358524,0.005249343832021,29530
2016-02-29,"Lancaster","SC","Charlotte",707,1249,-0.00873015873015873,-0.0443764345830145,0.0229320229320229,32815
2016-02-29,"Valencia","NM","Albuquerque",708,937,0.00321199143468951,0.00644468313641246,0.00106837606837607,28772
2016-02-29,"Rockingham","VA","Harrisonburg",709,1083,0.00277777777777778,0.00931966449207828,0.0353728489483748,22085
