"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-02-29,1230,"Morgan","CO","Fort Morgan",895,131500,0.0030511060259344,0.0115384615384615,0.0967472894078399,0.0434664684163952,0.0129704859368951,"2016-02","2016-Q1",131500,0,"2016-02"
2016-02-29,1897,"Madison","GA","Athens",896,107200,0.0113207547169811,0.0297790585975024,0.200447928331467,0.0358265027572107,0.00265016280822539,"2006-11","2006-Q4",113600,-0.0563380281690141,"2006-06"
2016-02-29,2994,"Palo Pinto","TX","Mineral Wells",897,108800,-0.00457456541628545,-0.0224618149146451,-0.0303030303030303,,,"2012-02","2012-Q1",147800,-0.263870094722598,
2016-02-29,2954,"Lauderdale","TN",,898,64400,-0.00923076923076923,-0.0212765957446809,-0.00770416024653313,0.0190550611806619,-0.00787747722838261,"2006-11","2006-Q4",70100,-0.0813124108416548,"2005-07"
2016-02-29,2720,"Henderson","TN",,899,88200,-0.00675675675675676,-0.0178173719376392,0.0327868852459016,0.0254105883332389,0.00793168473950767,"2015-11","2015-Q4",89800,-0.0178173719376392,"2015-07"
2016-02-29,803,"Wells","IN","Fort Wayne",900,109300,-0.00455373406193078,-0.018850987432675,-0.0179694519317161,0.00463841804247589,0.00316511268238462,"2014-03","2014-Q1",116800,-0.0642123287671233,"2013-05"
2016-02-29,779,"Upson","GA","Thomaston",901,68800,-0.0100719424460432,-0.0254957507082153,-0.0199430199430199,-0.0101486621236541,-0.0115814339154618,"2010-06","2010-Q2",82800,-0.169082125603865,"2002-04"
2016-02-29,806,"White","GA",,902,123400,0.00406834825061025,0.00488599348534202,-0.0190779014308426,0.0225138923835075,,"2009-08","2009-Q3",139300,-0.114142139267767,
2016-02-29,1169,"Marion","MS",,903,131400,-0.0142535633908477,-0.0436681222707424,-0.0194029850746269,0.0205374097860818,0.0531333363038278,"2013-12","2013-Q4",140400,-0.0641025641025641,"2013-11"
2016-02-29,599,"Lewis","NY",,904,105200,-0.000949667616334283,-0.0056710775047259,0.00959692898272553,0.020177540742718,0.0367908995540951,"2015-09","2015-Q3",107000,-0.0168224299065421,"2015-05"
2016-02-29,122,"Clay","IN","Terre Haute",905,88100,0.00227531285551763,-0.00339366515837104,0.0256111757857974,0.0275664443032961,-0.00124008112752372,"2013-09","2013-Q3",98200,-0.102851323828921,"2013-05"
2016-02-29,2550,"Somerset","MD","Salisbury",906,92300,0.00326086956521739,0.0187637969094923,-0.0797607178464606,-0.0466446284821931,-0.0335948069536852,"2006-03","2006-Q1",130400,-0.292177914110429,"2004-08"
2016-02-29,3133,"San Jacinto","TX",,907,143300,0.00702740688685875,0.0184790334044065,0.0544518027961737,0.0124549754146897,,"2013-09","2013-Q3",154300,-0.0712896953985742,"2013-07"
2016-02-29,2493,"Randolph","IN",,908,68400,0.0178571428571429,-0.0655737704918033,-0.0964332892998679,0.0152976214716849,,"2010-05","2010-Q2",84100,-0.186682520808561,
2016-02-29,1924,"McNairy","TN",,909,69000,0.00436681222707424,0.0102489019033675,0.0681114551083591,0.0590192786849519,0.0218271316224605,"2016-02","2016-Q1",69000,0,"2016-02"
2016-02-29,1081,"Hardin","TN",,910,73900,0,-0.0159786950732357,-0.0276315789473684,0.0279020074207943,,"2015-05","2015-Q2",79900,-0.0750938673341677,"2015-02"
2016-02-29,688,"Posey","IN","Evansville",911,125000,0.00240577385725742,0.00644122383252818,0.0121457489878542,0.0238567334934141,0.0082853774776892,"2015-08","2015-Q3",125200,-0.00159744408945687,"2015-08"
2016-02-29,809,"White","TN",,912,116400,0.0130548302872063,0.0383586083853702,0.164,0.0525570339544772,0.0350227676404942,"2016-02","2016-Q1",116400,0,"2016-02"
2016-02-29,1664,"Decatur","IN","Greensburg",913,111400,-0.00624442462087422,-0.0210896309314587,0.0324374420759963,-0.00107373189732074,0.00144772678786209,"2015-08","2015-Q3",115800,-0.0379965457685665,"2015-06"
2016-02-29,1521,"Audrain","MO","Mexico",914,92000,-0.0139335476956056,-0.0149892933618844,0.036036036036036,-0.00702346608548809,0.00618345542692267,"2011-03","2011-Q1",95900,-0.040667361835245,"2010-05"
2016-02-29,2494,"Randolph","MO","Moberly",915,101400,0.00895522388059702,0.04,0.176334106728538,0.0464664730024844,0.0272440283032851,"2014-02","2014-Q1",103500,-0.0202898550724638,"2013-12"
2016-02-29,2854,"Tillamook","OR",,916,266900,0.00869236583522298,0.0214313050133946,0.101072607260726,0.0186045222915585,0.00269983322057721,"2007-06","2007-Q2",321100,-0.168794767985051,"2006-04"
2016-02-29,2660,"Churchill","NV","Fallon",917,168300,0.00597728631201435,0.0193821926105391,0.155906593406593,0.0539741706834815,-0.0231414937059931,"2006-07","2006-Q3",217600,-0.2265625,"2005-02"
2016-02-29,1773,"Hickman","TN","Nashville",918,113300,0.0107047279214987,0.0461680517082179,0.1,0.0513619732330133,0.0278332807891861,"2016-02","2016-Q1",113300,0,"2016-02"
2016-02-29,3283,"Fredericksburg City","VA","Washington",919,285800,0.00989399293286219,0.0188948306595365,0.0648286140089419,0.0288620290343211,-0.022217660590612,"2006-01","2006-Q1",358600,-0.203011712214166,"2005-01"
2016-02-29,1700,"Fayette","IN","Connersville",920,65900,-0.00302571860816944,-0.0105105105105105,-0.0222551928783383,0.0269325515790177,-0.0249004495091741,"2005-02","2005-Q1",93400,-0.294432548179872,"2000-01"
2016-02-29,708,"Scott","IN","Louisville/Jefferson County",921,84400,-0.0117096018735363,-0.0944206008583691,-0.0419977298524404,0.00335096071879382,-0.0090150760202754,"2005-03","2005-Q1",104200,-0.190019193857965,"2004-07"
2016-02-29,3271,"West Baton Rouge","LA","Baton Rouge",922,182000,0.0276679841897233,0.0435779816513761,0.0139275766016713,0.00914683206042377,0.0314757264030174,"2013-11","2013-Q4",210200,-0.134157944814462,"2013-07"
