"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"Hawaii","State","Hawaii","All Homes",6538,6613,6769,6360,5855,5572,5286,5046,5162,5256,5197,5324,5044,5528,6340,6706,6686,7048,7994,8625,8191,8096,8835,8672,8341,8402,8400,8026,7847,7932,7826,7397,6870,6688,6487,6208,6037,6598,6564,6392,6351,6525,6359,6208,6029,5874,6050,6016,6008,6286,6466,6471,6417,6432,6535,6568,6542,6378,6376,6379,6395,6506,6722,6142,7236,7790,8369,8284,7731,7868,8107,7992,7873,8102
"Maine","State","Maine","All Homes",12476,13326,13294,13546,13507,14378,14566,14742,14615,14130,13271,12866,11588,11824,11987,12846,13512,15332,17333,18298,17490,16954,16671,15631,14498,14106,14279,13892,14969,15934,16184,16280,11767,11629,10908,9588,12107,12235,12544,13068,14033,14641,15013,15268,15122,14696,13690,12694,11505,11263,11316,11865,13416,14528,15347,15468,15242,14791,13641,12235,11588,11436,11244,8740,12634,13858,15318,17362,14438,13566,12474,11170,10032,9664
"New Hampshire","State","New Hampshire","All Homes",10788,10739,11833,12492,12212,12519,12708,13150,13519,12772,12476,11196,10164,10522,10928,11828,12210,14008,15715,16531,15558,15010,13983,12581,11334,11285,11700,12065,12698,13568,13522,13286,13272,12780,11925,10570,9555,9977,10406,11086,12401,13162,13185,13274,12994,12417,11236,10056,8902,7724,8440,9468,11123,12291,12912,13117,13090,12514,11308,9789,8769,8661,9036,10229,11755,13158,13770,13379,13026,12380,11085,9482,7818,7503
"Rhode Island","State","Rhode Island","All Homes",4932,5088,6754,6896,6928,7235,7318,7048,6866,7010,6959,6613,6146,6050,6864,7694,8148,8303,9011,8734,8570,8423,8082,7479,6858,6812,7070,7070,7399,7576,7206,7010,6916,6651,6195,5644,5234,5316,5558,5908,6343,6331,6193,6282,6212,6052,5708,5206,4680,4726,5058,5572,6146,6440,6690,6686,6584,6413,6021,5301,4815,4635,4504,5527,5927,6158,6293,6264,6049,5368,5012,4712,4374,4296
"Montana","State","Montana","All Homes",4829,4901,5277,5630,5680,6104,6308,6364,6019,5794,5835,6022,6308,6596,7318,7648,8245,9251,10200,10883,10588,10196,10083,9274,8482,8493,8360,8267,8592,9070,9295,9307,8929,8344,7684,5914,6130,6992,7336,8546,8864,7989,8102,8142,7920,7550,7145,6756,5987,5979,5944,6772,7248,8038,8525,8686,8510,8071,7402,6595,6214,6179,6316,6241,7180,7696,7841,7962,7691,7277,7184,6901,6318,6427
"Delaware","State","Delaware","All Homes",6238,6355,6817,7128,6926,7069,7066,8157,8709,8558,8370,8391,7858,8198,9040,9148,9178,9511,9974,9772,9306,9197,9261,9094,8578,8452,8306,8229,8377,8352,7844,7504,7720,7709,7390,6740,6425,7094,7372,7575,7539,7532,7093,7110,7118,7006,6884,6542,6177,6257,6342,6903,7277,7484,7598,7540,7510,7524,7240,6651,6362,6356,6366,5342,5869,6046,6219,6402,7607,7560,7264,6841,6492,6508
"South Dakota","State","South Dakota","All Homes",2900,3000,3430,3634,3632,3790,3904,3932,3850,3808,3672,3512,3744,3127,3740,3944,4122,4414,4924,5084,4800,4652,4122,3794,3536,3561,3667,3689,3902,4055,4040,4072,3926,3735,3444,3331,2879,3070,3271,3354,3654,3856,3949,4042,3912,3650,3362,3127,2799,2836,2882,3258,4015,4042,3747,3596,3610,3559,3389,3221,2870,2885,3000,2840,2948,2848,2794,2883,2844,3336,3160,2638,2660,2828
"Alaska","State","Alaska","All Homes",2780,2807,3097,3170,3337,3627,3768,3856,3866,3664,3376,3194,2904,3008,3447,3701,4126,4552,5303,5395,4851,4616,4372,3816,3484,3561,3640,3627,3920,4374,4586,4651,4602,4183,3892,3446,3178,3382,3662,3874,4171,4670,4956,5003,4669,4224,3694,3190,2765,2779,2876,3174,3439,3792,4001,4000,3785,3524,3198,2906,2594,2617,2952,3315,3434,3726,3911,3992,3826,3471,3122,2808,2545,2854
"North Dakota","State","North Dakota","All Homes",1327,1540,1466,1394,1402,1464,1550,1588,1588,1556,1490,1485,1360,1406,1454,1544,1590,1691,1776,1832,1904,1848,1922,1770,1562,1479,1460,1196,1284,1380,1430,1509,1616,1587,1586,1350,1214,1196,1218,1184,1119,1280,1164,1324,1418,1475,1412,1276,1163,1168,1202,1234,1400,1464,1470,1602,1668,1776,1730,1475,1332,1348,1439,1641,1769,1804,1944,2050,2136,2150,2066,1936,1802,1973
"Vermont","State","Vermont","All Homes",4192,4280,4599,4800,4856,5153,5338,5460,5474,5244,5010,4860,4638,4994,4880,5209,5358,6185,7204,7923,7562,7465,7341,7434,7160,7084,7158,7103,7507,7782,7941,8089,8401,8203,7725,7294,7030,7072,7122,7230,7615,8174,8305,8528,8498,8319,7716,7208,6863,6076,6477,6903,7590,8194,8711,9117,9012,8828,8150,7617,7288,7240,7602,7806,7874,8566,9160,9324,9145,8836,8276,7678,6867,6752
"District of Columbia","State","District of Columbia","All Homes",1964,1952,2154,2342,2245,2297,2284,1858,2041,2460,2440,2362,2052,2140,2330,2350,2426,2615,2578,2460,2379,2382,2361,2134,1840,1927,1918,1818,1782,1776,1670,1595,1416,1359,1297,1071,928,969,944,1094,1198,1077,1035,1020,1060,1218,1240,1124,928,936,930,1087,1139,1278,1254,1178,1244,1367,1276,1043,919,932,967,1194,1240,1298,1256,1218,1304,1470,1466,1175,1045,1032
"Wyoming","State","Wyoming","All Homes",2161,2238,2384,2612,2638,2782,3064,3126,3149,3089,3039,2867,2754,2974,3923,4037,4206,4633,5380,5786,5518,5322,5207,4756,4378,4455,4468,4256,4455,4711,4763,4855,4882,4501,4556,4285,3934,3967,4063,4072,4150,4400,4488,4508,4398,4108,3856,3596,3335,3295,3356,3643,3866,4030,4159,3477,3471,3287,3224,3063,2800,2895,3064,3250,3592,3750,4008,4245,4119,3964,3796,3426,3156,3463
